RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
3,caedrel,English,personality,League of Legends,I'm Only Sleeping,6.3,689,12331,1.3,6728,797000,14200000,111,2.8,Thursday,Sunday
7,zerator,French,personality,World of Warcraft,VALORANT,5.1,6670,70813,1.6,9845,1570000,156000000,448,5.0,Sunday,Sunday
9,riotgames,English,esports,League of Legends,League of Legends: Wild Rift,8.5,3434,346968,1.0,9459,6860000,1339000,8,2.8,Saturday,Sunday
11,dota2_paragon_ru,Russian,personality,Dota 2,,10.7,1629,0,1.0,2291,352000,0,1,2.8,Tuesday,Sunday
13,kato_junichi0817,Japanese,personality,Apex Legends,VALORANT,6.3,5460,23768,1.2,67,939000,38400000,136,5.2,Saturday,Sunday
20,pgl_dota2,English,esports,Dota 2,,10.2,1457,111936,1.0,3421,450000,38100000,1,0.8,Saturday,Sunday
24,gaules,Portuguese,esports,Counter-Strike,Among Us,22.5,2425,235565,2.5,52432,4139999,405000000,211,7.0,Monday,Saturday
32,shroud,English,personality,PUBG: BATTLEGROUNDS,VALORANT,8.0,5394,28744,2.0,16781,10900000,571000000,354,5.4,Thursday,Thursday
34,paulinholokobr,Portuguese,personality,Grand Theft Auto V,Slots,3.0,6917,2030,1.2,1618,2930000,86000,15,2.5,Wednesday,Tuesday
38,kingsleagueamericas,Spanish,personality,Sports,Fortnite,3.4,13617,0,1.0,1340,467000,0,3,1.3,Sunday,Wednesday
41,summit1g,English,personality,Grand Theft Auto V,Escape from Tarkov,10.1,1861,162001,1.7,26449,6270000,505000000,328,6.7,Tuesday,Saturday
46,nicewigg,English,personality,Apex Legends,Call of Duty: Warzone,6.3,4840,9867,1.1,10622,800000,16300000,49,6.1,Tuesday,Sunday
49,k3soju,English,personality,Teamfight Tactics,Fortnite,8.3,4780,1794,1.1,10868,583000,21900000,24,4.1,Wednesday,Sunday
